statistic,10_MMF11,11_MMF11,12_MMF11,13_MMF11,14_MMF11,1_MMF11,23_MMF11,24a_MMF11,24b_MMF11,24c_MMF11,24d_MMF11,25_MMF11,29_30_MMF11,2Ve_MMF11,2_1_MMF11,2_MMF11,31_MMF11,32_MMF11,3_MMF11,44_MMF11,45A_MMF11,46d_MMF11,46v_MMF11,5_MMF11,7A_MMF11,7B_MMF11,8_MMF11,9_46d_MMF11,9_46v_MMF11,9_MMF11,AIP_MMF11,AuditoryCore_MMF11,DP_MMF11,Entorhinal_MMF11,F1_MMF11,F2_MMF11,F3_MMF11,F4_MMF11,F5_MMF11,F6_MMF11,F7_MMF11,FST_MMF11,Gustatory_MMF11,HC_Amygdala_MMF11,IPa_MMF11,Insula_MMF11,LB_MMF11,LIP_MMF11,MB_MMF11,MEDIAL_WALL,MIP_MMF11,MST_MMF11,MT_MMF11,OPAI_MMF11,OPRO_MMF11,PBc_MMF11,PBr_MMF11,PECg_MMF11,PGa_MMF11,PGm_MMF11,PIP_MMF11,PO_MMF11,Perirhinal_MMF11,Piriform_MMF11,ProM_MMF11,Prostriate_MMF11,S2_MMF11,STP_MMF11,TEO_MMF11,TE_MMF11,TH_TF_MMF11,TPt_MMF11,TemporalPole_MMF11,Unassigned_MMF11,V1_MMF11,V2_MMF11,V3A_MMF11,V3_MMF11,V4_MMF11,V4t_MMF11,VIP_MMF11
EXPV,0.4407949225126715,0.2954822043516694,0.20561070341676668,0.19744844071692658,0.35263485249893833,0.4266183845052216,0.33674586784261895,0.28700439587732196,0.2775313094228036,0.31563590042943257,0.2802441951971606,0.3079739226452425,0.27426648834497536,0.07957139670082569,0.2519096340147877,0.35523658035691463,0.29966562805821373,0.4785165139161768,0.3585721345396893,0.24899668546373466,0.17037648996147425,0.2601514995072033,0.3926965789849919,0.3288939724142791,0.43241883063112885,0.32167319028094854,0.44062831841361627,0.26312635370703596,0.4419708043124392,0.42487721030597125,0.16295494387555376,0.25633104856682054,0.3450001651037996,0.3436117115570321,0.36314054181587485,0.40195398599717824,0.403397545189334,0.2995691846427403,0.30940800269426993,0.34839299210243857,0.28766772737296953,0.3291707908839546,0.26617543764473206,0.6682213638596255,0.4039278376255434,0.3721819634559631,0.309879931340046,0.3863513695138029,0.36600512097880045,0.4494110548779847,0.33505860311888236,0.3271961577592879,0.3507685403596703,0.152639951226198,0.2775485464498657,0.2933386323017,0.3270892633012258,0.22908405776127105,0.40064802175021097,0.43376000198780407,0.39107510477885343,0.4079557670799375,0.40275569408196243,0.2280659662167751,0.2828096088991868,0.33201757285574607,0.36532321431542025,0.3706886778510121,0.3922361595795464,0.4369564012822288,0.543479104914343,0.31088384742416175,0.24966751141376287,0.46857308142522314,0.29640960092786384,0.36631856202670854,0.3226038630032748,0.41296894901801373,0.36678547266362505,0.2732809164323965,0.3168422598592624
MACE,0.009311163895486942,0.009786223277909739,0.011686460807600938,0.007173396674584311,0.010736342042755333,0.005510688836104514,0.009026128266033244,0.002422802850356287,0.00574821852731591,0.009548693586698343,0.015676959619952486,0.009073634204275519,0.00688836104513062,0.01619952494061757,0.014251781472684053,0.009073634204275536,0.011401425178147255,0.007885985748218532,0.009073634204275535,0.01472684085510686,0.010261282660332542,0.009738717339667427,0.004560570071258906,0.005748218527315906,0.00859857482185273,0.013824228028503555,0.013349168646080744,0.010973871733966741,0.010498812351543946,0.004560570071258907,0.013111638954869354,0.005748218527315906,0.009786223277909747,0.007648456057007105,0.007173396674584327,0.01002375296912112,0.009548693586698345,0.010261282660332532,0.010261282660332549,0.007838479809976234,0.008788598574821827,0.011923990498812357,0.005748218527315917,0.026128266033254143,0.009501187648456049,0.009738717339667441,0.005035629453681705,0.005985748218527322,0.011211401425178137,0.008598574821852719,0.011638954869358656,0.00931116389548694,0.009501187648456031,0.014726840855106879,0.01401425178147266,0.009548693586698343,0.01192399049881236,0.01923990498812349,0.013586698337292178,0.013301662707838464,0.008361045130641316,0.012161520190023738,0.010498812351543946,0.013586698337292157,0.010498812351543943,0.006175771971496423,0.004798099762470311,0.005985748218527315,0.010688836104513048,0.011401425178147273,0.00978622327790975,0.015439429928741075,0.004323040380047499,0.0059382422802850155,0.00646080760095012,0.00859857482185273,0.005985748218527319,0.010973871733966755,0.005273159144893113,0.007125890736342023,0.014536817102137764
MAPE,0.1182576121453411,0.11885547144066162,0.11183885438153555,0.1206827775137245,0.11495084731746254,0.08996463828418516,0.0942195431939558,0.15301789152146322,0.19177910619453775,0.09493921144704623,0.11301159373034195,0.11547338553419209,0.206435692411124,0.18333859372653089,0.129340068190382,0.08715682291438795,0.12778706929588882,0.1060187674395978,0.08902104963900676,0.1139952677105875,0.17918700323937037,0.12867046081130679,0.09833329782649314,0.09212644018095129,0.09381596927960355,0.10107625929543294,0.09104623677459411,0.12277666071683127,0.1331663132669238,0.10308782606300186,0.14498121837693792,0.10726102483233867,0.11084874112212743,0.14518293567077964,0.08479445112214105,0.09404144938908508,0.10702796734385125,0.09818405029584013,0.09662220545225834,0.1382844894488581,0.11829362485221341,0.09694301868077661,0.13104554982093602,0.1500218995767658,0.08828355427036205,0.0880401191641761,0.09689223299628413,0.0978404991719524,0.09647902075892346,0.10730859179943165,0.1043862951672177,0.1010668746818928,0.09168407052086977,0.1893194208435042,0.13675940085318208,0.11582522058168558,0.09959447280584643,0.17435184212739074,0.085443948225252,0.09968434671187147,0.09457679842724305,0.09263683615649031,0.14875123665077386,0.17667503658193132,0.11222577123684754,0.12387491144765486,0.09214997619509302,0.0931003191863005,0.093956048318134,0.07909413408579356,0.12640699809897651,0.13231288249794784,0.08899103575676745,0.07179243052617282,0.08839743989972412,0.09167813486537926,0.10870494236637525,0.09015156105391219,0.08660771823206635,0.10424573565597323,0.10910665622428944
MSLL,-4.161062817976515,-2.785288725359541,-3.632252215289225,-2.8349969301607434,-3.3990916742125794,-3.853819134549248,-4.4079158408998795,-2.5756550180925606,-3.198275367313261,-3.7162175347865176,-2.284197426433286,-3.814930425203078,-2.7784942392354877,-1.460824289689598,-1.5881816579641255,-3.567174401880489,-3.0522054024292364,-4.045807031217994,-4.239259712691577,-3.3060357387036987,-2.6345895511301256,-2.6610992347013736,-3.9187134306732827,-4.497093564378395,-3.826418681145081,-3.545705498632167,-4.815657240688401,-2.3529956887411867,-3.3565844277513426,-3.858081212688388,-1.0352958484038544,-3.3337184591204645,-3.4168511259495657,-4.374494038894522,-5.181801906890697,-4.770968916331626,-3.9701443195774733,-3.5513334914333106,-3.7472302576308048,-2.480653572700005,-3.00883511638735,-3.356349764617055,-2.756331171166466,-4.608129188380971,-3.6246546917509033,-4.4937410549885435,-3.637805873969201,-4.040821873516249,-3.761403049338316,-4.823997137761547,-3.4604421207896587,-2.789360423936431,-3.700891066008196,-1.2061551636364127,-2.222017860241717,-2.6468542512005415,-2.6567050399947236,-2.3290952506781095,-2.7723039662732454,-3.8337678255344776,-3.4822357284186416,-4.125258928872053,-2.8029668527933067,-2.853252399791137,-1.6511680536133253,-2.6394408897139088,-4.0034005651480165,-4.224054414792975,-4.069492448423119,-5.129747402678517,-3.804933012649434,-2.9026546240299282,-3.8362429306681785,-4.937351751005683,-5.585768966033376,-5.528209189911165,-3.7092113938208944,-4.653759461408487,-4.3876784555918915,-2.261849779758645,-2.0637914297733944
NLL,1.135949913435771,1.261328323322302,1.317957439945377,1.3170992516738431,1.2267020773898105,1.1054178441540758,1.2061667827999267,1.2433077268779507,1.2442359984103581,1.194734474282605,1.1829005441571039,1.2521512601523033,1.2563367857308327,1.3803185616526685,1.2600192997440853,1.2087553512334543,1.157771800967028,1.0740795854182161,1.2039772063678347,1.2448504988531301,1.3300758736923883,1.2262677862600886,1.1808536558076468,1.2247729265029277,1.143381917161226,1.2075648831085881,1.126532659376952,1.2085387587965473,1.1495429178483338,1.1412240242065328,1.3369993848948991,1.2763229394053444,1.2213807683419047,1.212142503141283,1.1913968585787638,1.1517052199106352,1.1525299691829896,1.1815205583672548,1.227977170957251,1.1765417679923107,1.250289658602355,1.2308352782693754,1.259705647987162,0.8163300721068278,1.1707719237794292,1.186817226264343,1.2125030897965114,1.192641773169893,1.1874290356182422,1.1127187580842077,1.1287806837325578,1.2383465740508897,1.2031704385044297,1.338467173891189,1.255227667514918,1.252842056377916,1.2371774131453999,1.2768538804494929,1.1746076499797569,1.1214665889806006,1.1713411435052348,1.1548618185592112,1.1794458551775164,1.3078651181211538,1.2646937453735065,1.214948630103521,1.1921794894882938,1.2100684158506256,1.1815259333200887,1.1417728631835604,1.0317830521901405,1.2092737904705657,1.2859135307525182,1.1143114157219867,1.224121991341677,1.207015123960266,1.2373787554171973,1.1741404111406653,1.2101077398439972,1.2731057107550026,1.117229500403154
R2,0.440773142443882,0.2954763820077365,0.20560478867497545,0.19742496122117148,0.3526347271848096,0.4263299398433624,0.33633731892539454,0.2867563653436789,0.2774479438731574,0.31563511484351603,0.27984725692036516,0.30796851045565565,0.27426647520306113,0.07936102488316488,0.2517048337877442,0.355210328054144,0.2983500574150578,0.4780633505828721,0.35847161279061346,0.24885803192586464,0.17029391680755468,0.2599673781921704,0.39264073792162746,0.3288657096603579,0.43238545078320256,0.3214785349090138,0.44062755279087595,0.26282163793987035,0.4419422237734001,0.42480589622291587,0.16282615872581163,0.25630914892762025,0.3448158868566986,0.3434544753663691,0.363135157970899,0.4019382306042718,0.4033722901073068,0.2989693125167655,0.3088044354608529,0.3482991171299128,0.2876476757173507,0.32913576203492356,0.266098574351457,0.6681987191843897,0.4038631927718044,0.37213669147043527,0.3096660879735862,0.38634166788429025,0.36593304941908866,0.44940570169011373,0.3343637411530531,0.3271956274031077,0.3506929286097592,0.15263104536291416,0.2773349396246575,0.2933020808624518,0.3270848751921335,0.22890860860554563,0.4006479563474139,0.433372960680277,0.3910287585694634,0.40791645696342005,0.402745941910044,0.22806557265538885,0.2827265233656385,0.3315834070202086,0.36522394305507744,0.3706875342050757,0.3922331546140577,0.4369174915465319,0.5434779931739155,0.31075005767178,0.24951888158779945,0.46856666262233726,0.29640945145876907,0.366312293275758,0.3225908032042276,0.41295342679170466,0.3667058391646061,0.2732078740184414,0.31579632066087093
RMSE,36.14267021950905,11.6180718464151,30.45298518172162,13.779647539707943,19.87440908313557,26.11338498347645,54.06318504621369,9.30971152296517,17.480569096836977,27.177283338712943,6.579859971825421,31.94709465304396,11.653496959025633,3.9783241477327604,3.61207911502367,23.0479232374085,13.651895027995613,29.248946430656567,44.806242155917516,19.863172740452896,11.616018060161947,10.154307326791088,30.917153344378185,60.55396457911598,26.251042814731804,23.113393772268722,68.9086345402134,7.316508342384566,16.371506614240747,27.217028957213476,2.373806851410661,20.968848648173946,20.24431197654788,52.31673952375537,113.14399729879254,69.87479408086723,31.35910873822045,23.018856054383587,29.1251673008603,7.569840612112314,14.448562310736827,19.46566733817322,11.500701201053445,31.623838110011516,22.59764131777289,56.19924648990474,25.68945243509922,35.529616967829384,27.169450177037774,67.99259769139505,19.429223790197465,11.140845498630314,26.29025154912596,2.8373606332975028,6.658553579043581,10.046072744978908,9.746184586305867,7.822751992050279,9.698973117903702,25.84892194885684,19.81910202210048,36.56635104589209,10.031878029564517,13.636515379811286,3.7839718773811346,9.337412296372072,34.792436359709235,43.974969964452484,35.98484488000055,96.10267753751067,20.60880363535566,12.267018337577493,35.15256310869536,74.9361095042681,184.04367150186545,162.09559757008958,28.01980929889275,62.96857413784057,51.95809531475722,7.074236829866072,4.817873183920002
Rho,0.5187506995640826,0.5033751848232028,0.4141216185048365,0.4265301266723952,0.5423318534809752,0.539346111516033,0.5226848202180918,0.4434748510756621,0.4700573363311045,0.5489688860651468,0.5068717275403933,0.5489095539746212,0.44537726726575044,0.2625110402125958,0.45795428339496697,0.5078850468760617,0.4956337089439004,0.5135355465079718,0.5044985846358216,0.49320412868742247,0.3703303142029684,0.44342815331306973,0.4786135906712394,0.48242054384950195,0.48595955278428893,0.46331778175415583,0.5324462306344974,0.4638786976687557,0.574188160505454,0.4616461506107493,0.35571623633314964,0.42373836234849277,0.44444964425463285,0.47574717626494906,0.542078322623543,0.5534397596072231,0.5405533481856866,0.4830563812282353,0.4649328750338985,0.4993068809727646,0.4754609288304099,0.5070291691575365,0.41615663985675894,0.5866943057943693,0.5002150147540788,0.5171570253398898,0.44066153703092487,0.5229737412653839,0.48471917738814657,0.5012317112848033,0.4945197873900256,0.4229611451314847,0.46345214587174843,0.30841005596950044,0.4431737178498188,0.4802287945139154,0.4397740182110995,0.4612207546989547,0.491619792005513,0.5175054191941681,0.5414151963026146,0.46665871216819194,0.49618588033558697,0.4044358029813405,0.45084052354438175,0.44823905813118997,0.5246181538248256,0.5120410974909061,0.510074816130023,0.5384266199061073,0.5999320962693858,0.4823301134211671,0.3764920166341575,0.5145927593281948,0.4843360667727846,0.420358151939577,0.4790040185425564,0.44030360461084783,0.4454777890745508,0.41850339842495415,0.528296904256238
Rho_p,3.49217153169416e-59,2.732159216206579e-55,3.1890751729255986e-36,1.513162321043389e-38,1.479629956596375e-65,1.012007730002857e-64,3.269496048990315e-60,7.017898652286268e-42,1.6681947391831954e-47,1.9213140485497608e-67,3.7024778045761994e-56,1.998256179629174e-67,2.884132786416865e-42,9.770368621342766e-15,6.989600027998336e-45,2.06561161744521e-56,2.1032250059019987e-53,7.692042288280822e-58,1.4411864181124359e-55,8.035251425866954e-53,9.159598552477215e-29,7.172260015179274e-42,2.013795245748478e-49,2.7096439447949434e-50,4.1040859103382374e-51,4.9588939345914305e-46,8.001303212990762e-63,3.749993330552043e-46,5.185751856557169e-75,1.1368607073652504e-45,1.6158103150473453e-26,5.142852403448809e-38,4.4527584663144027e-42,8.96808764629264e-49,1.7433519841553923e-65,9.743557399199412e-69,4.661889335253172e-65,1.9335166714563446e-50,2.2148664948981905e-46,2.715627021706058e-54,1.0402596953968752e-48,3.38197403868574e-56,1.3464614023343929e-36,5.1455982922320497e-79,1.6308032244234813e-54,9.035578712902702e-59,2.587275417198633e-41,2.7441413441763063e-60,7.972643558857877e-51,9.197404473839112e-55,3.893647358048552e-53,7.214997350657872e-38,4.6380523950724766e-46,5.1836414328769336e-20,8.074455807872707e-42,8.625138927211392e-50,3.8949273230701387e-41,1.4030838016847474e-45,1.9146191947242316e-52,7.3432341849595904e-59,2.6755297470055835e-65,9.316063768989504e-47,1.5485812590981144e-53,1.7824687052117111e-34,2.1740844568792652e-43,7.489313903415027e-43,1.0093119789239055e-60,1.8475667534201936e-57,5.813517361522814e-57,1.8224565557158377e-64,1.9031209503625495e-83,2.8427059537979347e-50,9.537772429657563e-30,4.127434885539708e-58,9.782190039831748e-51,2.227783737398339e-37,1.6412784290905117e-49,3.051786363736182e-41,2.751319989592465e-42,4.944835676021401e-37,1.055805739494423e-61
SMSE,0.559226857556118,0.7045236179922636,0.7943952113250247,0.8025750387788286,0.6473652728151905,0.5736700601566376,0.6636626810746055,0.7132436346563211,0.7225520561268426,0.684364885156484,0.7201527430796348,0.6920314895443443,0.7257335247969389,0.920638975116835,0.7482951662122559,0.6447896719458561,0.7016499425849421,0.5219366494171279,0.6415283872093865,0.7511419680741352,0.8297060831924453,0.7400326218078295,0.6073592620783725,0.6711342903396421,0.5676145492167974,0.6785214650909861,0.559372447209124,0.7371783620601298,0.5580577762265999,0.575194103777084,0.8371738412741884,0.7436908510723798,0.6551841131433015,0.6565455246336309,0.6368648420291011,0.5980617693957282,0.5966277098926932,0.7010306874832346,0.6911955645391471,0.6517008828700872,0.7123523242826493,0.6708642379650763,0.733901425648543,0.3318012808156104,0.5961368072281956,0.6278633085295647,0.6903339120264137,0.6136583321157099,0.6340669505809113,0.5505942983098862,0.6656362588469469,0.6728043725968923,0.6493070713902407,0.847368954637086,0.7226650603753425,0.7066979191375482,0.6729151248078665,0.7710913913944545,0.5993520436525861,0.566627039319723,0.6089712414305366,0.5920835430365801,0.5972540580899561,0.7719344273446112,0.7172734766343615,0.6684165929797913,0.6347760569449227,0.6293124657949243,0.6077668453859423,0.5630825084534682,0.45652200682608446,0.68924994232822,0.7504811184122007,0.5314333373776629,0.703590548541231,0.6336877067242419,0.6774091967957725,0.5870465732082953,0.6332941608353939,0.7267921259815586,0.6842036793391292
