statistic,10_MMF11,11_MMF11,12_MMF11,13_MMF11,14_MMF11,1_MMF11,23_MMF11,24a_MMF11,24b_MMF11,24c_MMF11,24d_MMF11,25_MMF11,29_30_MMF11,2Ve_MMF11,2_1_MMF11,2_MMF11,31_MMF11,32_MMF11,3_MMF11,44_MMF11,45A_MMF11,46d_MMF11,46v_MMF11,5_MMF11,7A_MMF11,7B_MMF11,8_MMF11,9_46d_MMF11,9_46v_MMF11,9_MMF11,AIP_MMF11,AuditoryCore_MMF11,DP_MMF11,Entorhinal_MMF11,F1_MMF11,F2_MMF11,F3_MMF11,F4_MMF11,F5_MMF11,F6_MMF11,F7_MMF11,FST_MMF11,Gustatory_MMF11,HC_Amygdala_MMF11,IPa_MMF11,Insula_MMF11,LB_MMF11,LIP_MMF11,MB_MMF11,MEDIAL_WALL,MIP_MMF11,MST_MMF11,MT_MMF11,OPAI_MMF11,OPRO_MMF11,PBc_MMF11,PBr_MMF11,PECg_MMF11,PGa_MMF11,PGm_MMF11,PIP_MMF11,PO_MMF11,Perirhinal_MMF11,Piriform_MMF11,ProM_MMF11,Prostriate_MMF11,S2_MMF11,STP_MMF11,TEO_MMF11,TE_MMF11,TH_TF_MMF11,TPt_MMF11,TemporalPole_MMF11,Unassigned_MMF11,V1_MMF11,V2_MMF11,V3A_MMF11,V3_MMF11,V4_MMF11,V4t_MMF11,VIP_MMF11
EXPV,0.4074555134468142,0.2717999963240466,0.18199743285736103,0.23190665463147808,0.3011000739953559,0.3878530576267767,0.3593618458050397,0.2806947132652413,0.217627915960652,0.21931216095761197,0.258721654917223,0.2712668517281813,0.2749612166502301,0.07428288167189567,0.28937770122206974,0.3701730998656839,0.337561595640422,0.5383709321029617,0.37229150750707085,0.3169936575543262,0.22568191473015442,0.3081430998814175,0.40955819955584993,0.3418294512192076,0.4217073281152015,0.3520052360437296,0.46992825387949533,0.32290311416816087,0.3498310094503334,0.36945637674930654,0.17584526326979222,0.2863227716913094,0.28666753367034925,0.4699457103078519,0.35819853667427437,0.41952139351434725,0.33203671165032256,0.3852608131899854,0.33411712755664313,0.25032629639910464,0.3187564013541637,0.3206722500672977,0.22344383758936515,0.5319731737403388,0.37003158619556664,0.38579497355838877,0.26944616357424256,0.38122741401694715,0.3305883067891565,0.4119379485392062,0.37176839040827736,0.3135586872802899,0.34382855202800056,0.18905791353559942,0.2808753901943415,0.2909437125937139,0.27800503519199016,0.20567469933311855,0.41020340242298414,0.43108435088386354,0.3700014083317176,0.35876687578537503,0.4573625566506556,0.2088517916053647,0.24362934532955893,0.23905811386218867,0.3864099797925741,0.3852613353822495,0.38318319248086863,0.39861913830869233,0.38069685979542367,0.254966975658645,0.2265175716110639,0.4678884171257036,0.2713026974027153,0.36611293117555044,0.3274838532187634,0.3591627730722742,0.3766135846756613,0.22755211597538272,0.35361998284631424
MACE,0.01328588374851721,0.008137603795966796,0.006476868327402149,0.006358244365361835,0.009798339264531457,0.014306049822064066,0.009442467378410441,0.022064056939501774,0.012882562277580088,0.009205219454329798,0.013997627520759181,0.008849347568208802,0.016725978647686823,0.019217081850533797,0.014590747330960852,0.010747330960854116,0.01039145907473311,0.030438908659549246,0.009205219454329795,0.016251482799525492,0.012811387900355884,0.009561091340450778,0.007117437722419935,0.006714116251482811,0.009798339264531457,0.010984578884934761,0.008612099644128141,0.012692763938315537,0.016204033214709385,0.014068801897983407,0.012099644128113882,0.008137603795966796,0.005527876631079486,0.005290628706998835,0.007425860023724811,0.010438908659549228,0.0035587188612099833,0.014709371293001173,0.008374851720047465,0.00801897983392646,0.009134045077105541,0.011696322657176761,0.016204033214709392,0.0372479240806643,0.009679715302491114,0.007069988137603819,0.0069513641755634984,0.007425860023724792,0.007900355871886141,0.006761565836298944,0.008730723606168467,0.013831553973902733,0.008422301304863593,0.01281138790035587,0.01364175563463817,0.005172004744958496,0.013594306049822091,0.01660735468564651,0.006476868327402149,0.008612099644128127,0.008374851720047479,0.010272835112692773,0.007069988137603807,0.009323843416370138,0.011696322657176756,0.014116251482799519,0.0063582443653618145,0.0048161328588375045,0.010438908659549238,0.00593119810201663,0.024507710557532637,0.01814946619217082,0.019691577698695138,0.009964412811387904,0.00837485172004746,0.012645314353499415,0.0054567022538552865,0.008256227758007146,0.009323843416370135,0.012170818505338108,0.016963226571767485
MAPE,0.11852593548440207,0.1501659620102627,0.10482999079800467,0.12707325708231584,0.13304133480719318,0.09321233019244804,0.09291889563701707,0.34919674680637125,1.232541703454323,0.1551563705555801,0.11837743522752428,0.16662505541794498,0.1610108061210241,0.19348941844313947,0.12461313110930208,0.09176785219034848,0.12886702120775242,0.19447270518712398,0.08963967755027309,0.10153597066972031,0.18694879232813247,0.1225985582757391,0.10204072426224656,0.09213027843048002,0.09626294950078625,0.09588789394541704,0.08615302719402826,0.13315449922789818,0.13322937117330122,0.11131228704193692,0.1652733967741207,0.10352772633687264,0.12301438915525409,0.12113330708512102,0.08669129599746617,0.09149665753929359,0.10415002509174189,0.09479799940175515,0.08908752335269977,1.052818450688289,0.12032953913104637,0.09045336327183008,0.1428084649155512,0.18250751179461344,0.10743773937414745,0.08726892550088992,0.10403616026191646,0.10082046701776724,0.09832731423467458,0.1362126080584629,0.10405946577529922,0.11821568651626496,0.09766665427225463,0.18913104222315688,0.14765630443918448,0.11310213357254566,0.1141613657571193,0.1713201920807851,0.0964371762093106,0.10243011311899497,0.09633705099819963,0.09478409985585302,0.155238181421954,0.13937680428535662,0.11056097393847783,0.14340889935865625,0.09696456525551476,0.08755017117552347,0.09731608251364485,0.08487162630980681,0.1244588960458058,0.13016061422598707,0.09541044543333396,0.07089288821357279,0.08943626582834113,0.0913402717299044,0.10414032260141268,0.09235444693806387,0.08644916192805382,0.11203704163457834,0.1093518188914664
MSLL,-3.6974234038531666,-2.755086394207667,-3.4896588598968137,-2.8361055382757767,-3.319506641182027,-3.902024097328284,-4.286687349072379,-2.374966734676881,-2.9746628909789914,-4.115258667652723,-2.1099191857533097,-3.844274403177109,-2.3999201274520554,-1.5369471090624904,-1.8180382370067056,-3.6297067059321906,-2.7800750118897195,-4.0603726717790956,-4.312729526845664,-3.0702622554468366,-2.6482482165678265,-2.5692298667519657,-3.867082697942674,-4.579115359917257,-3.938939878691505,-3.6448920798213296,-4.834845398097339,-2.3660010362698305,-3.17692999579637,-3.7686235918604556,-1.2081114515338127,-3.3524020235633496,-3.269574319550447,-4.460937001873158,-5.269610783852878,-4.763800895796465,-3.4446164208571837,-3.504103455263684,-4.042848352059361,-2.212281648738802,-3.0396287336397365,-3.4808374950150593,-2.5863895996812243,-4.655714795620626,-3.583883962605185,-4.185726303291104,-3.644350455317033,-4.078465092282764,-3.7571925844447605,-4.855357979897252,-3.2374065613022527,-3.034794315821131,-3.7407401238863622,-1.1925070267567688,-2.69555742655721,-2.8115840797893012,-2.941529871817046,-2.230561704113591,-2.874362801527954,-3.756129549819376,-3.4704285951445684,-4.005078167794164,-2.83188646833171,-2.783865315160133,-1.653383895726762,-2.642681205879027,-4.1057582684719724,-4.376118151748329,-4.000786713231835,-5.083093117059057,-3.771393908433013,-2.542572888770719,-3.953557943083829,-4.8775581038508475,-5.606752379026002,-5.504231920926431,-3.607498665512387,-4.583978164316027,-4.374581106915689,-2.292542627434173,-1.9730019420842981
NLL,1.1803518889745002,1.2871342347960988,1.3223272958235144,1.2966267523609964,1.2505203169253154,1.1315134498850021,1.2144649059614547,1.199384325241887,1.2196277952750496,1.2234837906563245,1.2609136329645563,1.2428493776926162,1.2365963548085093,1.38742132668343,1.174022331586045,1.2035199836616346,1.2219337034936115,1.0508419069361679,1.1843239502885723,1.1773316758827834,1.3120455766237897,1.2425142170363093,1.1568491844290736,1.2149112345047213,1.1634858143177302,1.195894187245649,1.0910949192323829,1.174372809093265,1.2208871872839984,1.1706996575726327,1.2763674251948376,1.2612210093799123,1.26001544685583,1.1221400653355003,1.1840896714058808,1.1359805361376365,1.2277901345713211,1.1209776579570208,1.192523440314002,1.2054896256865368,1.2191749023584255,1.2077650883380775,1.3080429290296047,0.9117465847601727,1.2096251495090173,1.184099482232625,1.2709289390642124,1.1916681066790646,1.203149895575725,1.160478626887569,1.1711193257841845,1.2386911208277063,1.2122291682187896,1.3285315118093886,1.0900578709805986,1.2447740675713928,1.260036067602141,1.321537069533329,1.1715758353059729,1.128278241709372,1.194078444361591,1.1933160323779017,1.1231011590615927,1.3081461556895804,1.2671870286089222,1.1765582721513679,1.180086233968624,1.1878421638188117,1.1962470377648742,1.1739339973015583,1.015227275026761,1.2478237623483117,1.2915873986147608,1.112830468961176,1.2452773190435698,1.2103500657040596,1.2265111067048666,1.2058634545456812,1.194453139308768,1.2997075723468312,1.1571159161309503
R2,0.40744812519118745,0.2717526301559309,0.18196608123063962,0.23190657396686132,0.30109634317489886,0.38729797476831396,0.3593573829858847,0.27716671188226616,0.21714702699459165,0.2188142123284199,0.2586010153315421,0.2711427547341674,0.27474916059273,0.07424600305134244,0.28831142261125053,0.3700933272435115,0.33756041006706416,0.5361555592673458,0.3722046015468684,0.31681162221979264,0.22563021994845966,0.3081311268486794,0.409391181190629,0.34179988367924774,0.4217060839946448,0.35193268940540534,0.4698169292182591,0.3222356978166828,0.34887128352286123,0.36860748354494155,0.17517435159734251,0.28631922350279204,0.28662328745174026,0.4699380539656778,0.35819845820613694,0.41947665414024227,0.3319932731866948,0.38488135603631657,0.3339029020854025,0.2500139185861221,0.3187218014999065,0.32055929892257273,0.22340087701985156,0.5302023368484057,0.37002648184505693,0.3857801102862922,0.2694208134884125,0.38122739982563925,0.330531750255198,0.4116717274639491,0.3716961115270274,0.3135531836658898,0.3437958372779367,0.18905002474701904,0.2796068059114639,0.29086260275630926,0.2780050321571911,0.20564522648764727,0.410197483789028,0.4310410002673246,0.369986648989562,0.3587393614283524,0.4573188302772694,0.20870346357163916,0.2433322740836209,0.2370369228332767,0.3863752267933914,0.3852613313588823,0.3831692723455947,0.39861300295496316,0.3806564417466608,0.2546877719281532,0.2241885475572467,0.4678873441073621,0.27130133164075665,0.3661109249414014,0.3274520870292753,0.3591582241838105,0.37659218164346453,0.22745777646319287,0.35294068304064474
RMSE,24.463405085408766,11.76024585652315,26.913334864259284,13.221863763124702,19.53030255889085,29.06866346539723,47.44503879822995,7.338424642658114,14.195811634296566,44.537556011620175,6.063493424294796,33.44982494576646,7.822147238286009,4.335584924041005,4.067646627867483,24.12373840738332,10.77423059598912,27.33513922186231,46.774793706321184,13.987486018630024,11.173024834078701,9.103201229206354,28.266932547580765,64.45484675510366,30.254672719902352,24.654695694118075,66.00531878100728,6.86858054177864,15.868796270604362,26.85550797396638,2.6359633644887075,20.6151191426854,18.94951634386834,46.84095064133845,123.10330095318703,67.28452487644357,21.152106624250905,19.35929224587163,37.08725375279066,6.391585922952169,14.125375094032986,21.68067674622396,10.475911722939115,43.41462025983371,23.18561008626313,40.73900992132311,28.201693647333116,37.009918550077174,28.240812329276167,76.07068497160704,15.756006986474247,14.388562781096217,27.754253327274814,2.7110216340362854,9.049393218346589,11.770149507793437,13.732411632328992,7.523622148580529,10.622945648957657,24.13096344825342,20.380149684239193,35.06824502469752,9.303888641243663,12.884585712934278,3.904840207530668,9.631395476095673,37.43926953499808,49.488621135633046,34.34700752625205,97.88861652852134,22.831361171713965,9.248691598937876,40.41835152531543,70.52731017508135,195.35993428849787,158.80909226677628,24.946418804786912,63.333647220368874,50.08985676909228,7.7235751554443075,4.452744602520091
Rho,0.529349016741132,0.47715066922390564,0.41029842763539287,0.4625432368211369,0.508118938708771,0.5355477685017126,0.509264896382867,0.40659137940226536,0.46331622918505144,0.48190320014544913,0.5051467740556154,0.533698796406779,0.4016541435678519,0.2607475909826703,0.47565747592844504,0.49138674880380295,0.46460719053166316,0.5542110772153852,0.5009962417349765,0.53552590477626,0.3943999737933176,0.4760767426599583,0.49964542806435924,0.4934675084379706,0.4726034850558909,0.498860667547716,0.5296619294183254,0.5062212214229176,0.48819251159707033,0.42837425013395136,0.3269731659190695,0.4604881067212949,0.41280327143210566,0.5302367060284924,0.5446823889277989,0.575234917119245,0.46883472162521955,0.5265516116598595,0.5063883792689106,0.46692631785514366,0.5058200325770855,0.49829953197926513,0.40573000069977166,0.5280740901285786,0.4576381405629842,0.5522526663077992,0.4119861309684226,0.48522875992118464,0.47749967757976636,0.47537160496390485,0.5179583663210893,0.4698412041547202,0.4689948987031683,0.33010439593532026,0.4654364296578962,0.4663089255089251,0.43522441672144785,0.40463082518856547,0.5147543139742085,0.508180433566434,0.5267676448976107,0.4537287902728639,0.528999687890899,0.41323444653263536,0.43243075741815046,0.4151842040921723,0.5404334548194499,0.5129067640730512,0.5024889142270824,0.5387405134065247,0.5268947209161823,0.425487787679008,0.39972227360046264,0.5032749567212143,0.45653491881032915,0.40765476971372727,0.49540130137159305,0.3974331425471288,0.41376931157801616,0.38494266561168644,0.5199189105193401
Rho_p,4.669852578484578e-62,3.7974803446162616e-49,1.445323235986219e-35,6.457396886180342e-46,1.5535297474377778e-56,9.589299823260596e-64,8.000313126742278e-57,6.723716290190746e-35,4.395342488500189e-46,3.1210076570676565e-50,8.585000718800677e-56,3.0818644972291756e-63,5.056422441603562e-34,1.438410276122488e-14,8.259324361319619e-49,1.8928414636864386e-52,2.3068773271177498e-46,4.823890600707913e-69,9.085172472276405e-55,9.723010821144476e-64,9.220935839166462e-33,6.642967932272477e-49,1.9442972720197774e-54,6.043193530410054e-53,3.9989657896415045e-48,3.0202900992220423e-54,3.8455106620245105e-62,4.636578221236277e-56,1.0756944052769252e-51,6.05198970162882e-39,1.870013716650117e-22,1.787106088862794e-45,5.05898786146152e-36,2.690210614054782e-62,2.692551060643905e-66,1.9898374055356443e-75,2.7401866756815844e-47,2.6270471340707247e-61,4.212002679572888e-56,7.195508524797577e-47,5.837235566507282e-56,4.1354347397805934e-54,9.583954209617345e-35,1.0281658682885934e-61,7.248695185403463e-45,1.7996341737415581e-68,7.132059940534655e-36,5.305371537101322e-51,3.1650592850348663e-49,9.579854628059399e-49,4.792349354569542e-59,1.6427953395800127e-47,2.526202191692219e-47,7.024131723984067e-23,1.5224960753445377e-46,9.820592701216865e-47,2.799790538834607e-40,1.504258234849691e-34,3.2149736371657476e-58,1.4992747287431877e-56,2.300302526521809e-61,4.842983736590164e-44,5.7991520971305534e-62,4.2188636463214624e-36,9.889554148530181e-40,1.8497667306125253e-36,4.234407961404818e-65,9.546537820253495e-58,3.9037114106324456e-55,1.2555433835159334e-64,2.1273307275572763e-61,2.1638084604021884e-38,1.1033325776529637e-33,2.4978146465265e-55,1.2419936264205936e-44,4.334611517315879e-35,2.076671025408378e-53,2.762804671349492e-33,3.3666728150378914e-36,3.649087936584059e-31,1.4803778991095418e-59
SMSE,0.5925518748088126,0.728247369844069,0.8180339187693604,0.7680934260331387,0.6989036568251012,0.6127020252316859,0.6406426170141154,0.7228332881177338,0.7828529730054083,0.7811857876715801,0.7413989846684578,0.7288572452658327,0.72525083940727,0.9257539969486577,0.7116885773887495,0.6299066727564885,0.6624395899329358,0.46384444073265424,0.6277953984531315,0.6831883777802074,0.7743697800515403,0.6918688731513206,0.590608818809371,0.6582001163207523,0.5782939160053552,0.6480673105945948,0.5301830707817409,0.6777643021833172,0.6511287164771388,0.6313925164550585,0.8248256484026575,0.713680776497208,0.7133767125482597,0.5300619460343221,0.6418015417938631,0.5805233458597577,0.6680067268133052,0.6151186439636834,0.6660970979145974,0.7499860814138779,0.6812781985000935,0.6794407010774272,0.7765991229801484,0.4697976631515944,0.6299735181549431,0.6142198897137079,0.7305791865115875,0.6187726001743608,0.669468249744802,0.5883282725360509,0.6283038884729726,0.6864468163341103,0.6562041627220632,0.810949975252981,0.720393194088536,0.7091373972436907,0.7219949678428089,0.7943547735123526,0.5898025162109719,0.5689589997326754,0.630013351010438,0.6412606385716475,0.5426811697227306,0.7912965364283608,0.7566677259163791,0.7629630771667233,0.6136247732066086,0.6147386686411177,0.6168307276544053,0.6013869970450368,0.6193435582533392,0.7453122280718468,0.7758114524427533,0.5321126558926379,0.7286986683592434,0.6338890750585987,0.6725479129707247,0.6408417758161894,0.6234078183565355,0.7725422235368071,0.6470593169593551
