observations,centile,subject_ids,AUDITORY,COGNITIVE,EMOTION,GUSTATORY,MEDIAL_WALL,MOTOR,OLFACTORY,SOMATOSENSORY,VISION,VISION_V1
5,0.05,5,1122.1646180250748,3292.8146701104856,806.7060789049848,151.47487543373595,319.31810890506557,2574.5888542511357,143.0188310988743,1871.0613697561148,5799.2562679114035,1546.9819612860854
5,0.25,5,1229.8972223233495,3580.2737904299784,892.203010077437,170.509243425488,384.843834560154,2840.9189150998445,161.45741751157325,2071.456228167675,6412.834199960441,1721.7017721989553
5,0.5,5,1305.2947200327292,3781.0439637819127,949.7284887171361,182.8072351825543,427.1619603334372,3013.2028653909865,173.41107989991428,2202.0195539846814,6801.677519924346,1831.6458849240257
5,0.75,5,1394.3761966012687,4010.655212895514,1014.6003635145366,196.8308505447285,474.27901195821596,3202.9788026200713,187.25840500862344,2345.867236641656,7216.801319287452,1954.7439632143405
5,0.95,5,1569.723829914099,4431.164002487538,1134.3695718544616,224.90657587736646,562.2228933298331,3552.3809449294104,214.8534098756252,2608.9896246168946,7950.2999063938205,2198.8568868404936
6,0.05,6,1123.0344735640285,3295.4289358520105,807.6896693573316,151.58527751970806,319.76431636258087,2576.8797621157514,142.96998410392726,1872.2743842299722,5805.645806138976,1546.2827124401172
6,0.25,6,1230.5015522670633,3582.2242722950123,892.9116940916904,170.58996037874718,385.1887692057096,2842.5492293125417,161.39559388431954,2072.309025097291,6417.539582753018,1720.9199886664762
6,0.5,6,1305.8214620246467,3782.830294594611,950.382022316275,182.88401785360216,427.50084103022294,3014.6805938227585,173.3288398610267,2202.7743455988175,6805.955525466907,1830.6852753728162
6,0.75,6,1394.857275219152,4012.3842359524474,1015.252315397594,196.91605097039906,474.65862382010687,3204.4682354061447,187.1358318169132,2346.601036672149,7221.155962273356,1953.387614501272
6,0.95,6,1570.0591147776677,4432.717113571667,1135.0294784152268,225.01663176018536,562.7086778567127,3553.969795398406,214.62397817419895,2609.7039664102513,7955.0912508887695,2196.348866807283
