observations,subject_ids,subvol_Cornea,subvol_L_Accumbens_area,subvol_L_Amygdala,subvol_L_Caudate,subvol_L_Cerebellum_Cortex,subvol_L_Cerebellum_White_Matter,subvol_L_Cerebral_Cortex,subvol_L_Cerebral_White_Matter,subvol_L_Claustrum,subvol_L_Hippocampus,subvol_L_Lateral_Ventricle,subvol_L_Pallidum,subvol_L_Putamen,subvol_L_Substancia_Nigra,subvol_L_Thalamus_Proper,subvol_L_VentralDC,subvol_R_Accumbens_area,subvol_R_Amygdala,subvol_R_Caudate,subvol_R_Cerebellum_Cortex,subvol_R_Cerebellum_White_Matter,subvol_R_Cerebral_Cortex,subvol_R_Cerebral_White_Matter,subvol_R_Claustrum,subvol_R_Hippocampus,subvol_R_Lateral_Ventricle,subvol_R_Pallidum,subvol_R_Putamen,subvol_R_Substancia_Nigra,subvol_R_Thalamus_Proper,subvol_R_VentralDC,subvol_T_Accumbens_area,subvol_T_Amygdala,subvol_T_Caudate,subvol_T_Cerebellum_Cortex,subvol_T_Cerebellum_White_Matter,subvol_T_Cerebral_Cortex,subvol_T_Cerebral_White_Matter,subvol_T_Claustrum,subvol_T_Cornea,subvol_T_Hippocampus,subvol_T_Lateral_Ventricle,subvol_T_Pallidum,subvol_T_Putamen,subvol_T_Substancia_Nigra,subvol_T_Thalamus_Proper,subvol_T_VentralDC,voxel_volume_mm3
0,0,-0.41038686808669256,-0.15389652235206008,-0.052354635710182604,0.4979465140164666,-0.8898161832058332,-1.0029228426562113,0.11424731169011175,0.14536425019818053,-0.005389487111240252,0.3372382282768723,-0.41605665232038413,-0.334615986698181,-0.17679662555075248,-0.9080920709397641,-0.31889207578261775,-0.2532680685733181,-0.0841066116315496,-0.5113447266640655,0.5764920933521636,-1.0082898094709272,-0.9687408901090843,0.08873578520750501,0.08288992742235193,0.0033257451322164923,0.1971603173762969,-0.12262322288370128,-0.2195432517174697,-0.1719815405049274,-0.41504626625243973,-0.3169570127548595,-0.4211681830733885,-0.128231410154354,-0.32351700298985936,0.5411592333790889,-1.003544917813896,-0.9132746896240838,0.10140849200646672,0.11419955741088092,-0.0015818946321619733,-0.41038686808669256,0.2630550818089547,-0.285685031340466,-0.2989926163940556,-0.1654477420157326,-0.6725188017375042,-0.34209631148242176,-0.3627848151900895,-0.05880540974947978
1,1,0.296969582692734,-1.92614006872812,-0.47141976405798985,0.009712497602144531,1.0208346630479002,1.4927616371049686,0.6635919844422574,0.2471712221234944,-0.2114782603976565,0.3792216737565423,0.8509721111619827,0.1747104468137138,-0.661226311883979,0.13620710890665924,-0.8276309942208953,-0.20322671924655444,-0.9132465816399925,-0.6454753659824269,-0.04113425851788844,1.021552109790786,1.2815270165662147,0.5739965243814996,0.16136281779526296,-0.5120728775459901,0.01758131686581523,0.7166521347879548,0.2983243035950554,-0.3411121575984663,0.03455495701522536,-0.7923650152325974,-0.11266816842798053,-1.4601464439398641,-0.5576142782807847,-0.017224399539672815,0.9924976643140448,1.4217710234160017,0.6158643321563771,0.20839823390620676,-0.36117738765746643,0.296969582692734,0.2000703531082647,0.7786931623376653,0.2444843338017643,-0.5267461365236776,0.08279893989933207,-0.8114141213841924,-0.16394217675203,-0.06349969886689928
2,2,0.1643787821932313,-0.9470194180648784,-1.108118379961394,-1.7439876365732248,-1.0418352981049408,-1.2198824834445345,-1.4979979856359984,-1.2089960037598473,-0.8043776525635606,-0.8679998964286483,-1.4233486559657456,-0.6038289913406083,0.24344896677877406,-0.8865440294535842,-0.9533951179017377,-0.5017436456819186,-0.2668533416741187,-0.9008544624274097,-1.7039325960986196,-1.097353516468398,-1.1452178752807647,-1.426169212267195,-1.2860023585611842,-0.6478487987475284,-0.3131590724438224,-1.2866859627979508,-0.5084618025995784,0.26128983520792853,-1.4172382632527654,-0.9751169813831002,-0.40307468675261354,-0.6208732352776939,-0.9966324477530051,-1.7390331245099215,-1.0452921867584124,-1.1904282693157808,-1.4545174724650127,-1.2719571632839521,-0.7271988945883269,0.1643787821932313,-0.5926746268129578,-1.3454198001245785,-0.5544416456056247,0.2502326795662987,-1.1711348846664826,-0.9679701236614809,-0.4584102181110846,-0.070620632872617
3,3,1.065923490901308,0.6131934575398243,1.2879436384923246,1.872207808121369,0.6480327489613302,1.0831730500800325,1.955884936133767,2.0994554839234274,2.0518068599617045,1.5738361672556747,1.8620571572464601,1.7780674366466507,1.4910544986405325,1.6631561481495638,2.0012218359273373,1.3851323753509834,1.2499553304645088,1.1728168755966648,1.9433298572663877,0.5842804723276589,1.0718736256331025,1.9041286009442215,2.0378483638231404,1.6894674044324933,1.0975627602609475,2.0017894736527855,1.5536542790436825,1.5961215409184406,1.7594324829410117,2.0848536797995547,1.5212194127862086,0.9583393447777251,1.226820760295797,1.926328417209268,0.618794537717127,1.060423192300878,1.9215915828310606,2.0999392019923953,1.874241031871415,1.065923490901308,1.3329266314622035,1.917069915243785,1.7004502867724114,1.5739263522069193,1.748845327100164,2.033500057625751,1.4832008624125883,0.21364193477604687
4,4,0.20021591189764465,0.870643350348629,-0.4168333017114044,0.47863848284606564,1.002480078461101,0.9117166116437307,0.4990750268520989,0.28608088838263246,-0.2490325460236988,0.3689924503202056,0.16843308204250418,0.02337430428366154,-0.1917423050337353,0.040606661638752845,0.8239048742481875,-0.2818636254443787,1.3489845386006636,-0.06021064254514718,0.5955315524049694,0.8412744347388826,0.8121150276431895,0.5656854641161759,0.3900584756922278,-0.42319560189237043,0.7309462467630318,0.400072309144844,0.30152559321621053,0.06858791317665465,0.06849836828645299,0.6886845923592319,-0.17539700063018368,1.1420604949409887,-0.2396804532395563,0.5420386145279332,0.9009572037283301,0.8749593765852139,0.5308413228964044,0.34443964969959134,-0.33670426022515954,0.20021591189764465,0.5473438648476113,0.2794970068971073,0.17560570188912727,-0.07547850773790166,0.04729030168264896,0.7570726225772033,-0.23322477261661437,-0.08280032756665968
5,5,0.5482656543397766,0.8234558202473421,0.581181157091011,0.5140303367633292,1.021641203666676,0.9534657462947257,1.7781238461999402,1.3244173165730784,1.548300151797174,0.37451732649818253,0.10946488327694934,-0.13721927435231762,0.7745498678232122,-0.23936339024289852,0.09506040802035053,0.5846056402374799,0.48711991628092166,0.36419996700868323,0.7633287597688662,0.8670822232306918,0.8908534077804677,1.7333912025835423,1.3622152911474554,1.4746093568462229,0.45199133024635424,0.13787063967010563,0.2003355422641232,0.6604074205504424,-0.0022971121069167476,0.09650387312117635,0.7514117287096629,0.6637948916587618,0.46844021538439234,0.6468222417145496,0.9413629164745853,0.9079698028537129,1.747929747476758,1.3671758967579635,1.5110927054596819,0.5482656543397766,0.40311753417176166,0.1279208163037264,0.05144848727264598,0.7197541722925161,-0.13812089079675452,0.10594267697201529,0.6838346375912583,0.0355581916586792
6,6,1.0934356562300094,0.9718812095387542,-0.05973568407440081,1.4596719170853605,0.40062748701924505,0.17971230573147945,0.488403795567968,0.7454297271058967,0.9643721326969564,-0.41886636327447246,0.8704228614484336,1.2007147681968604,1.568165989724667,1.7795620807747696,1.2348314111787126,1.6031475923749743,1.4079083241498769,0.23896783918457518,1.3381712352023034,0.6246919461679333,0.3521217520383308,0.4848639215331073,0.7168197524426337,1.106610222831177,-0.09347377594084602,0.6384557030721812,1.2501307927960392,1.8470886202047734,1.4960007199471652,1.2440164102330398,1.4189881368170065,1.2493739036787375,0.10536126343887539,1.415723738290294,0.5125056569504501,0.24979595415111897,0.48579176379314337,0.7385963114722157,1.0328844782432753,1.0934356562300094,-0.2502946422209186,0.7673100213745865,1.2015226305306754,1.7920790967013593,1.7040116947664246,1.2219512507473733,1.5712815783479914,-0.28963435828020145
7,7,-0.84950139942766,0.07430185290000443,-0.48558155692375055,-0.13184653398333643,-0.8689721978603268,-0.6789100947423922,-0.4626381929085316,-0.4581849323481346,0.4172018904969326,-0.5038442627764427,-1.500270584890236,0.016999898504566787,-0.09225149031382932,-0.9072469357593753,-0.9175272573420759,-0.523597358703949,-0.3552773616079945,-1.2784883840198342,-0.15673571734239347,-0.8084449711004286,-0.7899887705872939,-0.4498607402711697,-0.5771610632904237,-0.003929263417733047,-0.534522515817802,-1.3079392452000298,-0.017941795928499538,0.20828026139332634,-0.6549369195314771,-0.8832745113938393,-0.7866995817183509,-0.14868061205218117,-0.8938032779676945,-0.14715099617976404,-0.8314005107843451,-0.7296044766107109,-0.45391399845263297,-0.5244207723262946,0.21515144656835236,-0.84950139942766,-0.5183336007703074,-1.4126966687096483,0.005607022894057522,0.05463728794396487,-0.828158988655018,-0.9072670485995712,-0.6823231157233094,-0.13608686130352557
8,8,-1.7699280404612592,-1.0215301564979191,-1.0764732767471288,-0.5923431170349054,-0.49135190622545866,-0.8241546626396697,-1.021203686888602,-1.114276166309453,-0.5062627656353124,-1.2121685539530367,-0.910528287278792,-1.2751328800184332,-0.43771847974758754,-1.6863172859743256,-1.6956021559813408,-1.2585263502832333,0.03669911794361259,-1.1419730017983847,-0.6372021134392039,-0.509432330767806,-0.6089424542161564,-0.9325261673938736,-0.9860379070371773,-0.8141139222142272,-1.3296092157266108,-0.9606824988111557,-1.2467853455240991,-0.43617999036269506,-1.6344273793357034,-1.6674825944411091,-1.0800822390364113,-0.5284420753030011,-1.0827504857916765,-0.6200755554976397,-0.491075185165607,-0.712550408699168,-0.9716111095680672,-1.0779516448620292,-0.6617332198571355,-1.7699280404612592,-1.2274823267846893,-0.920489045890367,-1.3154711488984883,-0.4490270823959577,-1.6302621137663602,-1.6933076159532978,-1.2153375504474517,0.03737300228024592
9,9,-0.415456488897525,0.172330708506876,0.026136181899202384,-0.6448909409829943,0.23222377192589536,0.48822971514042357,-0.31685500596360844,-0.23575788092797328,-0.07531697336601774,1.0120036000880819,0.4252933017873535,-0.5258350546612326,0.5778418732730194,0.7199264936878778,-0.04096593907578378,-0.19276665968007936,0.543045684175316,0.3114092129329677,-0.7695598200629157,0.11172297725338351,0.5022227915517917,-0.2783945366518466,-0.2977518613815599,-0.33064242151583145,0.6748614279728403,0.32929718327946406,-0.2593425360846757,0.3982505988230821,0.5696759569560403,0.08439341877642481,0.09379500144414432,0.36440364435957484,0.18554633485542307,-0.7151316532990751,0.20912052043745274,0.4527131204952277,-0.2925938022946078,-0.2696516818847685,-0.19941280717478152,-0.415456488897525,0.8473119340198069,0.4091348234497498,-0.35267427823953357,0.4446321419344194,0.664631871878583,0.04839342767232956,-0.04525209852417601,-0.44073511377268115
