observations,subject_ids,subvol_Cornea,subvol_L_Accumbens_area,subvol_L_Amygdala,subvol_L_Caudate,subvol_L_Cerebellum_Cortex,subvol_L_Cerebellum_White_Matter,subvol_L_Cerebral_Cortex,subvol_L_Cerebral_White_Matter,subvol_L_Claustrum,subvol_L_Hippocampus,subvol_L_Lateral_Ventricle,subvol_L_Pallidum,subvol_L_Putamen,subvol_L_Substancia_Nigra,subvol_L_Thalamus_Proper,subvol_L_VentralDC,subvol_R_Accumbens_area,subvol_R_Amygdala,subvol_R_Caudate,subvol_R_Cerebellum_Cortex,subvol_R_Cerebellum_White_Matter,subvol_R_Cerebral_Cortex,subvol_R_Cerebral_White_Matter,subvol_R_Claustrum,subvol_R_Hippocampus,subvol_R_Lateral_Ventricle,subvol_R_Pallidum,subvol_R_Putamen,subvol_R_Substancia_Nigra,subvol_R_Thalamus_Proper,subvol_R_VentralDC,subvol_T_Accumbens_area,subvol_T_Amygdala,subvol_T_Caudate,subvol_T_Cerebellum_Cortex,subvol_T_Cerebellum_White_Matter,subvol_T_Cerebral_Cortex,subvol_T_Cerebral_White_Matter,subvol_T_Claustrum,subvol_T_Cornea,subvol_T_Hippocampus,subvol_T_Lateral_Ventricle,subvol_T_Pallidum,subvol_T_Putamen,subvol_T_Substancia_Nigra,subvol_T_Thalamus_Proper,subvol_T_VentralDC,voxel_volume_mm3
10,10,-1.0824183826712956,-1.1132542977802207,-0.8504935310118599,-1.476719401650055,-0.9722785285257718,-0.8222912621246723,-1.4946129387258764,-1.3998282591180948,-1.4827715061504876,-1.3323119503895684,-1.3052262891225386,-1.6550318968003923,-2.194827186175533,-0.46264433749783096,-1.3733163655263252,-0.7253893761950745,-0.8127386114992874,-0.5388896204051562,-1.4326203153673132,-1.1384559253941933,-0.8236532902025897,-1.525708081744517,-1.427919883343594,-1.7322543501868393,-1.2173511617064414,-1.2765068365959422,-1.5915315613744347,-1.9647896418059716,-0.5223331058089985,-1.3497566546792292,-0.32458559118093316,-0.9724571350556277,-0.7113343653201609,-1.4587811333684826,-1.052137098165252,-0.8391031008026526,-1.5081786361572582,-1.4227449024067889,-1.6171238673617987,-1.0824183826712956,-1.2898141309671387,-1.2952972416815451,-1.6453422250831031,-2.106089350294071,-0.5071426263548734,-1.372971738974786,-0.49088708384547325,1.033661583773354
11,11,-2.5303402546655924,-0.8555923510472552,-1.10083108802171,-0.8579401223048913,-0.8833327813562635,-0.819982388642077,-0.9577303746043893,-0.8770419735008756,-1.1852201390954593,-1.362645416957336,-1.0274735408500237,-0.7447438769684134,-0.728202750865521,-0.775123776594737,-1.2391744752686598,-1.2754838922299871,-0.7875919649078068,-1.3504967025500267,-0.7744118603276857,-0.8508795140463162,-0.8617770711782566,-1.0732878924415243,-0.915913702699202,-0.8614769083594387,-1.2716853647681372,-1.0025891383335122,-1.104679543305069,-0.7902833217991804,-1.495656128412734,-1.9040446006982799,-2.544646715947781,-0.7780149124759106,-1.1892393635206853,-0.7972472159539723,-0.8397413002645484,-0.8681842656499603,-1.0158714727546896,-0.8894628648280594,-1.005999285357035,-2.5303402546655924,-1.2931060912934005,-0.9927645283292938,-0.7388145654275278,-0.6906601417400955,-1.0585526103922551,-1.526313343833967,-1.8661843923040784,-3.5700616097219924
12,12,-0.23988715232868857,-0.7095170719878873,-0.40547225206912574,-0.9273918881743581,-1.1562525382784439,-1.1494508325751083,-0.36642832637201633,-0.4538903660228011,-0.6389416036726563,-0.4672967967726157,-0.5973946929382918,-0.420189562051389,-0.5845896735255941,-0.07392012139900389,-0.5431150396406156,-0.1301067416216805,-0.4788267628664374,-0.838631835358325,-1.0465508638269507,-1.5206975409489687,-1.716107529687805,-0.40433095870622776,-0.46375323063774787,-0.5486554543779127,-0.8108193543930512,-0.5939684028723615,-0.43434593364274765,-0.5165375444727717,-0.09824083352192853,-0.6526977218311877,-0.1829962699874727,-0.49160303975251896,-0.5855956865959003,-0.988698282857467,-1.3257855385437392,-1.4147436310721835,-0.3907204942645747,-0.44107610037795253,-0.5964142394185563,-0.23988715232868857,-0.6417970291875176,-0.6043332886556074,-0.4076618533894268,-0.535550913368804,-0.056744352979480106,-0.6065980768698183,-0.13498827809810998,1.0094724584810115
13,13,-1.3151918019106916,-2.605073417088705,-1.3523484149896183,-1.9565644207981885,-1.3221639896673083,-1.2433731349449124,-1.0669000118850027,-1.068046533362229,-1.1824781060446345,-1.2564022933727823,-1.6517320495314718,-1.6443841913100554,-1.0035943720443081,-0.8428286295066665,-0.9142209938817747,-1.1773849743227593,-1.8707016373538885,-1.385281916451596,-2.197968125816775,-1.298489067099873,-1.2154161341988479,-0.9485142765391618,-1.088611633459819,-0.9160118365363709,-1.2763136459409992,-1.631237368134187,-1.5913134938629085,-0.788960640910633,-0.8121191881196678,-0.9775446837013784,-1.3049615866992643,-2.2786656090993502,-1.3225594209408196,-2.087100419056397,-1.3079748904039001,-1.2418262958771065,-1.0073781612199402,-1.073734923621605,-1.0435054345283077,-1.3151918019106916,-1.2405798247662667,-1.6591798111122122,-1.6414629547631376,-0.9017730707653435,-0.8087237552843812,-0.9114270560017517,-1.1828412658141496,-0.029021930903056603
14,14,-0.3806456268524846,-0.7374507128950792,-0.5223523107926914,-0.563245510026394,-0.47440578990618576,-0.5381726756482506,-0.5322340132226376,-0.42371668172785504,-0.45092489415541803,-0.394021041526515,-0.38499995600760156,-0.38194675030591735,-0.5316826703493316,-0.24431057445403387,-0.3615217726936164,-0.1903062543949568,-0.4873212281880408,-0.33435861091768465,-0.5561525662745321,-0.6445400094405396,-0.6349732701482413,-0.5560774871554448,-0.40970586694758165,-0.5119838299736523,-0.434033076676424,-0.40488454781606054,-0.4225439332111664,-0.6102949982181803,-0.10982713098477637,-0.4674076701663032,-0.1615268641800467,-0.5942008908953434,-0.4250952648370385,-0.5542478827539611,-0.5615432452486671,-0.5980984215045293,-0.5497817205848123,-0.40493233278872215,-0.4620826206675602,-0.3806456268524846,-0.4254928296780918,-0.40950198522061104,-0.3828080395243136,-0.5260289719474871,-0.15364600063458245,-0.3998165820032783,-0.17112502032050148,1.026203609445664
15,15,-1.1624203956615777,-2.9769922068440926,-0.9614299504359979,-2.003551731374031,-0.6745430918896955,-0.6354092814759482,-0.8760817877536863,-1.062734131446665,-1.50047319190329,-0.4454747908546057,-1.1591805055601712,-2.0312715355538753,-0.755563714123977,-1.844029968861661,-1.2504465194203207,-0.5313398324294019,-2.681186374018178,-0.6161543557232227,-2.1214506289718296,-0.9558046265571356,-0.6336781956482093,-1.085241606075877,-1.2375244899792686,-1.5541966989410698,-0.4124355355422441,-1.0019349634417583,-2.293792136725786,-0.7143716674853395,-2.380012552888214,-1.1006281221682477,-0.8424837205135587,-2.8707229144949507,-0.782889504589706,-2.080343721237345,-0.8118865390482672,-0.6314788028884907,-0.9792220356210621,-1.1668765069119726,-1.5286217161776914,-1.1624203956615777,-0.4638498891460293,-1.0815802387532512,-2.2518889634828936,-0.7160778157608831,-2.121640320508044,-1.1881875201594738,-0.6845005414857399,1.0348867993309159
16,16,-1.7235193145255894,-2.1016067669858596,-0.7404616584367051,-1.0228021790823767,-0.9776129596248944,-1.0967368877881873,-0.8714171543695729,-0.9594443320997025,-0.7560886412134741,-0.8022566288931005,-0.8851931378156148,-0.9377986211427978,-0.6688931396971123,-0.89211141486189,-0.9189688908357749,-1.4559601688849613,-2.3590979550775417,-1.155273652225025,-0.9655577380236372,-0.8482083397932131,-1.346491969145982,-0.7993080989569544,-0.8737287350576811,-0.7176586233275466,-0.828198860960702,-0.9411593642564802,-0.9726562036274594,-0.780986792264224,-1.0928489136100663,-0.8725965275188705,-1.7514760036872223,-2.2596023559045335,-0.8834275101567735,-0.9910352983574121,-0.9135625830846932,-1.206423005314277,-0.8355612863522607,-0.910250510617839,-0.7042611274805941,-1.7235193145255894,-0.809550528537815,-0.8992919886004149,-0.9460289561033621,-0.7852211946342219,-0.954321112861953,-0.8867340843053451,-1.5649388577853656,-0.9377858707450821
17,17,-0.2424474493468688,-1.024471161000932,-0.5917154055613806,-0.8415968561624747,-0.39114473254647253,-0.4260091420406002,-0.7838022715495552,-0.6730430716667514,-0.5749055141775624,-0.7494074733710621,-0.4134566417417007,-0.5003603219894579,-0.60646863199602,-0.411680148128421,-0.625217500337504,-0.19171057482201131,-0.6370549687623737,-0.4323262334673657,-0.8045442609860047,-0.4423378925209401,-0.38920713077235997,-0.7768171958669657,-0.6775740106917694,-0.5490450793325554,-0.5368429756862944,-0.5067903346709248,-0.5527983542497179,-0.5872588224679385,-0.1253720593617627,-0.5571305911289686,-0.40591477682794597,-0.8101075073598469,-0.5346435006643357,-0.8220157284381542,-0.4280150151691206,-0.415574409769994,-0.7828874124094914,-0.6554908534823852,-0.5696933897232392,-0.2424474493468688,-0.6775306271571129,-0.4661438720133334,-0.5034721080249832,-0.5931732973156956,-0.23612999647401456,-0.5829596653204153,-0.23633305813001493,1.0284847539527742
18,18,-1.1801446001717406,-1.1134703482630635,-1.6320902165524112,-1.9579589595481797,-1.9054218427001124,-2.0917544493293665,-1.1597882247898545,-1.1504285146063338,-0.7098714241204074,-2.8956324917093736,-2.9676263085073193,-0.9142818180007009,-0.9263269265132199,-1.7350231182963336,-1.8739316306906344,-2.075030422437179,-0.7527986042024832,-1.6580089310375274,-1.7264079954827145,-1.9784495674075884,-2.486246826590687,-1.1252530121638147,-1.2121980569900406,-0.7191986858664741,-3.634616764409316,-2.9926876671648803,-1.22052067226922,-0.7659978682687655,-1.7500268796285976,-1.7171505857381584,-2.406702529595176,-0.8883510498586972,-1.6247918305176279,-1.8410565533353547,-1.9370321945774647,-2.2580974158657723,-1.145772054277154,-1.1782695276363369,-0.7172642112751868,-1.1801446001717406,-3.352127502918907,-3.001684432944554,-1.0628422958731263,-0.875674330189441,-1.7434004808237256,-1.8372268373069627,-2.2873786252537522,0.2673684566004364
19,19,-0.19193348556260964,-0.469619120518004,-0.7062205682018302,-0.5740375669950266,-0.5052295842594133,-0.598457456388917,-0.3865713680278094,-0.41159656837373837,-0.7612118049520629,-0.6706098311354296,-0.7729614948904764,-0.6463419799012584,-0.4903308933232834,-0.19320557266815902,-0.6974650003157152,-0.19226450113999172,-0.46387091287093346,-0.6229475124557952,-0.54350678493119,-0.523412704837387,-0.6227874670097774,-0.4227565702955297,-0.39571551553785483,-0.8447900246323442,-0.48027230938261123,-0.654686224442404,-0.5842124536433018,-0.5433062326317409,-0.12144252370047626,-0.6421567295285101,-0.23013883081651126,-0.46434574406797247,-0.6794277480952384,-0.5510628440747842,-0.5229333550210814,-0.6308914875413889,-0.40975895534351997,-0.38155949752314955,-0.8072797280184751,-0.19193348556260964,-0.5813420696755465,-0.7227506809882799,-0.5758881075464631,-0.4897047450664629,-0.16846183176285773,-0.6615636768384247,-0.1784384312086964,0.9885828166626558
