statistic,subvol_Cornea,subvol_L_Accumbens_area,subvol_L_Amygdala,subvol_L_Caudate,subvol_L_Cerebellum_Cortex,subvol_L_Cerebellum_White_Matter,subvol_L_Cerebral_Cortex,subvol_L_Cerebral_White_Matter,subvol_L_Claustrum,subvol_L_Hippocampus,subvol_L_Lateral_Ventricle,subvol_L_Pallidum,subvol_L_Putamen,subvol_L_Substancia_Nigra,subvol_L_Thalamus_Proper,subvol_L_VentralDC,subvol_R_Accumbens_area,subvol_R_Amygdala,subvol_R_Caudate,subvol_R_Cerebellum_Cortex,subvol_R_Cerebellum_White_Matter,subvol_R_Cerebral_Cortex,subvol_R_Cerebral_White_Matter,subvol_R_Claustrum,subvol_R_Hippocampus,subvol_R_Lateral_Ventricle,subvol_R_Pallidum,subvol_R_Putamen,subvol_R_Substancia_Nigra,subvol_R_Thalamus_Proper,subvol_R_VentralDC,subvol_T_Accumbens_area,subvol_T_Amygdala,subvol_T_Caudate,subvol_T_Cerebellum_Cortex,subvol_T_Cerebellum_White_Matter,subvol_T_Cerebral_Cortex,subvol_T_Cerebral_White_Matter,subvol_T_Claustrum,subvol_T_Cornea,subvol_T_Hippocampus,subvol_T_Lateral_Ventricle,subvol_T_Pallidum,subvol_T_Putamen,subvol_T_Substancia_Nigra,subvol_T_Thalamus_Proper,subvol_T_VentralDC,voxel_volume_mm3
EXPV,0.6273553613812886,0.40952978600889167,0.43380022950994845,0.30921314736569505,0.46512001421256455,0.4555141131949145,0.4563222088396648,0.5032105872667046,0.3973187944475801,0.38555725383232,0.45163645728883484,0.44124004051974364,0.4106761489963092,0.6389844330330781,0.41738979908784,0.6586542018102453,0.36494727614561295,0.45365810745318713,0.30694433565365953,0.44902778343386274,0.44467457521084097,0.45059496116118203,0.4986038790697812,0.3924798288388621,0.4046921223646549,0.448401394811328,0.43278794327806114,0.41250222517803947,0.6267245763145345,0.4102647956399559,0.6653460193329107,0.39709589021804315,0.45294724056761904,0.30946729766973013,0.4585806675568037,0.4514967756386369,0.4541411860890726,0.5014888212688695,0.4003586841077851,0.6273553613812886,0.4026291877946634,0.4541395363069679,0.4405240706062451,0.41373612217354183,0.6401226837134993,0.4159473659203381,0.6671127228108651,0.8724245408886857
MACE,0.011211401425178158,0.00717339667458433,0.0050356294536817075,0.012874109263657946,0.015249406175771984,0.01049881235154395,0.0040380047505938045,0.011923990498812364,0.006935866983372914,0.0052731591448931135,0.014299287410926387,0.008313539192399034,0.006935866983372924,0.004038004750593807,0.006935866983372921,0.013824228028503579,0.003847980997624699,0.004038004750593805,0.008361045130641318,0.01429928741092638,0.010973871733966752,0.0055106888361045065,0.009073634204275543,0.0076484560570071304,0.010736342042755361,0.010023752969121157,0.009026128266033242,0.008836104513064134,0.009026128266033258,0.006698337292161507,0.010736342042755347,0.00883610451306413,0.006223277909738714,0.01121140142517814,0.018337292161520188,0.012636579572446566,0.004798099762470307,0.00859857482185274,0.00931116389548695,0.011211401425178158,0.011448931116389562,0.01168646080760097,0.008076009501187635,0.009073634204275536,0.005700712589073617,0.006460807600950117,0.008361045130641332,0.12142517814726839
MAPE,0.06697329635903211,0.07733860005218438,0.07159177530811643,0.08915561660391846,0.07247984676760107,0.0786106709045803,0.07475047872136913,0.07808698560219161,0.07750188549853781,0.07254416772658137,0.07131370101624944,0.0766855543332271,0.07489580158458987,0.0826379853058723,0.0699675646209286,0.06996646541981297,0.07662155125640749,0.07132272294292352,0.08808727292061865,0.07252674574093347,0.07892515245670738,0.07392095835104087,0.07763674688787754,0.07584955862811328,0.07014491325737099,0.07248358501083492,0.0786856937870294,0.07341215505315049,0.0807757408221902,0.06975489565683196,0.06821764307548737,0.07516545066495571,0.06990193169642017,0.08819900985533119,0.07233372009110325,0.0784675238449669,0.0741992622612184,0.07774186588500076,0.07574551640879608,0.06697329635903211,0.07023657047881278,0.0711191444701049,0.07708537288074373,0.0737573232753019,0.08045370212637153,0.06952012857604024,0.06841011846954802,0.06015116663683188
MSLL,-3.798548155559725,-2.83061951654814,-3.8265895491270787,-4.564284344298059,-6.071653651346611,-5.4607062754477145,-8.227349452526008,-7.6499126155856745,-3.678955717139961,-4.327908615497417,-4.384458132403804,-4.00878202590784,-4.8243647729274795,-3.382256291439237,-5.091877421555367,-4.034274279283802,-2.7764035382538195,-3.88244439365584,-4.5778297979162605,-5.987546418253789,-5.423957098042929,-8.20872580599898,-7.636888305529771,-3.638627207718766,-4.409485988935476,-4.274681936783072,-4.0140150678387005,-4.815338554499566,-3.3671659575714834,-5.061497011559133,-4.0430198562320365,-3.490747951222094,-4.542962356879157,-5.262590025322192,-6.723178022781376,-6.130202061833077,-8.910715943280813,-8.338138363794087,-4.345293231973988,-3.798548155559725,-5.051116746702918,-5.024020088879926,-4.7043552310459065,-5.508159904243337,-4.066643543714851,-5.767496534235459,-4.738263639171761,0.4087215276921419
NLL,0.876538542670502,1.1684358089016347,1.118565826827743,1.2398333531395873,1.0864935910110372,1.087734977408418,1.1092662244068254,1.0508473578871105,1.176916163873983,1.140247438807879,1.056417647520649,1.128777487571828,1.175099952826156,0.8373096299475219,1.1301443128793909,0.8288544134569996,1.2029803934885943,1.0963168757545352,1.2497714695075859,1.1012465079035407,1.0994962163114836,1.1154091377642428,1.0567004594512732,1.186639788863601,1.0862230194418323,1.0753775528899827,1.140683560853558,1.1708237259299972,0.8404707624324388,1.1410812369372336,0.8139335798833335,1.1761197251314097,1.1008447115197426,1.2433655071367624,1.0921295018984059,1.0960198610592482,1.1119800708266223,1.051525803236811,1.1802645127883058,0.876538542670502,1.1136349686301072,1.0611241393888264,1.1293472795962538,1.1739620078455875,0.8338197213359229,1.1350636930346403,0.8111300272336179,-0.5673719116678352
R2,0.6273507296170042,0.4095295659875091,0.4337870085621657,0.30921300890943215,0.4651028405563751,0.4555065837042864,0.4563211587193877,0.503196082337853,0.3973144164668144,0.385552045806559,0.4516297881604183,0.44118554936260646,0.41066833368263267,0.6389833969961531,0.41738979358521855,0.6586333890272797,0.36494726419910717,0.453644596739218,0.3069442675115954,0.44902511876703266,0.44466962214321615,0.4505941126723291,0.4986037271407351,0.3924729085661737,0.4045703732813103,0.44840007289385087,0.43278410879424667,0.4125020864774086,0.6266520776250887,0.4102270422795061,0.6653389207653706,0.3970952328011226,0.45293337067272676,0.3094670489880631,0.45857146744549926,0.4514896912434113,0.4541407866704531,0.5014853773847475,0.4003518134007681,0.6273507296170042,0.4026237989638841,0.4541375434730628,0.44050999752107556,0.41372110609713153,0.6401150818173758,0.4159193405999668,0.6671119623723856,0.8723663885206328
RMSE,15.840807557306242,10.142139127565345,25.580347015440434,66.70082235196183,227.32218336740434,124.65538446012806,2024.2992248631544,1024.5835424564737,24.137183336475875,44.95679854118471,41.3277803351296,30.804232037956364,74.89919299234718,9.886910624532876,93.03397446713925,18.29798643056301,10.313170637087767,25.986571909019876,68.39777560717798,215.25456774196405,122.78302186027425,2009.6935280692915,1021.9531910560368,23.503496762223396,45.49190686467211,37.850902505346006,31.571425395800755,73.79437100218941,9.935119693906465,91.80170757684924,18.005844891553696,19.98398354445102,50.565837372034295,134.54129875801817,441.2435058836559,246.41295002344137,4028.141519412976,2044.0010304062143,47.035993880270055,15.840807557306242,88.96197901234888,78.53242305145909,61.83064821903476,147.8507829203401,19.502433383266865,183.96832552882574,35.89078576998548,0.03257117000621961
Rho,0.7571070366691935,0.5122176851423624,0.5940335973486206,0.49107445518999676,0.6699413421325633,0.671732376690828,0.6342531065456817,0.6790802764422527,0.603760764627929,0.6235361707715603,0.6633734347592708,0.6623186269075859,0.5500909996020452,0.7598949086371004,0.6461507542597621,0.7903811524465517,0.49371120773878,0.6022360991185542,0.48664015202873556,0.6555001563692966,0.664375909361487,0.6335595149855314,0.6799332461125364,0.5953576293762315,0.6514666913593535,0.649146067124793,0.645008465709158,0.5577734457337985,0.7552643706253009,0.6324685663124973,0.7964858998359128,0.5108302680518119,0.6045725022698102,0.48942751264555606,0.6646242907971268,0.6704777633930192,0.6340984271350077,0.6804772258943942,0.6035148477640726,0.7571070366691935,0.6445781720248457,0.660891229529961,0.6570511197535704,0.5560179851386088,0.7629794633943849,0.6412781616699388,0.7969995308243125,0.6742079965709615
Rho_p,1.7768642521842996e-157,1.6662143708311012e-57,1.904128539460229e-81,2.578809897752155e-52,9.032095370706832e-111,1.4376980503713403e-111,5.842933131848356e-96,6.66276731818863e-115,9.092377713466096e-85,6.946987801411343e-92,6.843543010646302e-108,1.954000883178365e-107,9.129432144090218e-68,2.701125323652954e-159,1.1208049979596435e-100,6.016893522013573e-181,6.079847328693594e-53,3.0675501593327394e-84,2.847567962308219e-51,1.5562652367134357e-104,2.5148777220901815e-108,1.084552311116306e-95,2.6933632366654866e-115,6.828275430325003e-82,7.464616724754575e-103,6.737857319419738e-102,3.247587470849165e-100,5.184492702620995e-70,2.7407804336797117e-156,2.860057885303869e-95,1.0136532706615293e-185,3.7458662914703586e-57,4.7461446163629975e-85,6.318417071414088e-52,1.9612585343683815e-108,5.2159837012419865e-111,6.708044282799121e-96,1.509142373020519e-115,1.1067546191490836e-84,1.7768642521842996e-157,4.842754332036098e-100,8.02728091699687e-107,3.4579593664970663e-105,1.710145854025929e-69,2.4589268061174987e-161,1.0155294323667587e-98,3.952024680314611e-186,1.1096603844799738e-112
SMSE,0.3726492703829957,0.590470434012491,0.5662129914378343,0.6907869910905678,0.5348971594436249,0.5444934162957136,0.5436788412806123,0.49680391766214704,0.6026855835331856,0.614447954193441,0.5483702118395817,0.5588144506373934,0.5893316663173673,0.3610166030038468,0.5826102064147816,0.34136661097272025,0.6350527358008929,0.546355403260782,0.6930557324884046,0.5509748812329673,0.5553303778567839,0.5494058873276709,0.501396272859265,0.6075270914338264,0.5954296267186897,0.5515999271061492,0.5672158912057534,0.5874979135225914,0.3733479223749114,0.5897729577204938,0.3346610792346293,0.6029047671988774,0.5470666293272732,0.6905329510119368,0.5414285325545007,0.5485103087565887,0.5458592133295469,0.4985146226152525,0.5996481865992319,0.3726492703829957,0.5973762010361159,0.5458624565269372,0.5594900024789244,0.5862788939028684,0.35988491818262436,0.5840806594000332,0.33288803762761443,0.12763361147936728
