observations,subject_ids,AUDITORY,COGNITIVE,EMOTION,GUSTATORY,MEDIAL_WALL,MOTOR,OLFACTORY,SOMATOSENSORY,VISION,VISION_V1
0,0,0.26510171152632955,0.43988742996188795,-0.7234481020242637,-0.899141859060298,-0.7701933854415326,0.36511374857353,-0.9991096209429832,-0.06993063618214082,1.896802247210729,-0.37526262226690343
1,1,0.17028103224633234,-0.7354348814970515,1.6734920158889974,1.452638902076247,-0.7156029102908141,0.9055725496183044,-0.1087835089353502,0.4215441264975539,-0.13652409430059084,0.26539900150453155
2,2,-0.11604284750738668,-2.0709593401370183,-1.3463811748192411,-1.0099043915526713,-0.43990784702633634,0.668034133158214,1.1453663623081631,0.2129335998794042,-0.906921667490811,-0.014055681966965987
3,3,0.111889385284498,1.3255383067388413,0.7177914429558647,1.4212793026360697,-0.22068148018407074,-1.505165703342984,-0.7867765232797016,0.2714329280912848,-1.1854302368833018,0.7300141910239997
4,4,-1.1810073819008273,1.8965879506881518,-0.1865060557151005,-0.47614989291397714,1.2309074498405705,-0.8604042471162299,-0.8194328313546526,-0.28116147401210223,1.5242005378290588,-1.2998462831703252
5,5,1.1611019940865313,-0.8326006717994981,-0.37921362940885645,-0.12329870915501288,0.741989990293569,-0.3426379776772485,-1.3430322461954565,1.8537273563987593,-0.6434490611399195,-0.6948035178079129
6,6,-0.2603592667531614,-1.2151378100989239,0.6867709429633286,-0.6232355054068438,1.1732602651543413,0.11933811815055896,-0.17239962836535344,0.6753350217193137,-0.06657635830046867,-0.5208129302992521
7,7,0.4339300886448116,-1.612425959599473,-0.4011594373306682,2.375807509789137,2.458435854727151,-1.4577960077160337,-1.6292103966415004,-2.365687038918798,-0.7255823253122885,2.4560332937110823
8,8,0.3201833738734162,-0.5390170573668837,-0.31336908128332286,-0.137043401542684,1.1500985864124893,-0.11956562416860575,0.7498534154262096,0.5760780009355484,-1.0159805450487958,0.4469919593230619
9,9,1.2391010204581472,-0.6935968625396232,-0.6978476378925336,1.0448569734672652,0.4715538292677757,1.330717093495265,0.38952991575427215,0.7848873002442253,-0.08542752240437329,0.49576867638820854
10,10,-0.9714156466489368,-1.3276238078755236,-1.36674739948097,1.179000865636079,-0.582400008794758,0.6805128194885546,-0.5799289330073738,1.4636051145991678,1.3214493530316558,-0.4454626658703903
11,11,-0.541028468075907,0.40992998974128875,0.3195910192581475,-0.4586807049332413,-0.9393951423685751,1.405863401414705,-0.23936767003145576,0.2843969980468133,1.0934991025678207,-0.23265541744122
12,12,0.5036099979033211,-0.6015809230714572,-0.8154359130987355,0.26013550695015913,-0.7803937384515766,0.5792369145742852,-0.006685751325141942,1.3684897915027747,0.30760456028994276,0.9991373364142156
13,13,0.635965644310537,0.7183899743326565,0.8205134434940841,-1.1505249091239356,0.5133767105557111,0.3099114193416626,-0.199494939052255,-0.5815625448635162,-0.9733584138267405,-0.2808487716952453
14,14,-0.41423220449162007,-1.2370125790899735,-0.24585879991484033,0.8264632475224138,0.04896262388397969,-1.6042402550584125,-0.931500274444786,1.131433477797903,1.0223508766510845,1.333036864815041
15,15,-1.900825993560279,-0.7573463735192241,0.49853869469297235,-1.540122815000483,-0.08820333543402195,-0.37380689196535005,2.1898835447073624,-1.3720501207999123,0.7539222589623735,-0.10850207882351973
16,16,0.25348205800443896,-0.3735071016359243,0.23873462306412363,1.9405462061983803,1.680416044122626,-0.1426511867655111,0.26650541888561907,0.10494250150882116,-1.1450819867037645,-0.9372849955658493
