statistic,AUDITORY,COGNITIVE,EMOTION,GUSTATORY,MEDIAL_WALL,MOTOR,OLFACTORY,SOMATOSENSORY,VISION,VISION_V1
EXPV,0.30598541715260485,0.08984540804201524,-231930.8999644573,0.1349661083194571,0.3761286692153739,0.31912369505510774,0.22470242048656064,0.08109899702222934,0.0837231939864953,0.14747629513181992
MACE,0.014774346793349168,0.04232779097387175,0.039952494061757736,0.008836104513064129,0.03895486935866983,0.007838479809976224,0.006935866983372922,0.017862232779097396,0.02712589073634205,0.009548693586698345
MAPE,0.07259420673124352,0.17217932529284197,246.70170806382515,0.11000537520267036,6.536295322451168,0.09177526895997845,2.1601812635691173,0.11002974969108935,0.12105090378506285,0.6438699427449183
MSLL,5.516961313491032,3.794444178631296,-0.3330427196216129,5.200668858723715,3.0391159479460628,5.551616854033524,4.296360302999463,4.867070163167499,5.174191660454232,5.292456440084137
NLL,1.2499441754062206,0.34073791062670544,-1.2692294434614884,1.301926644227029,0.9743245034218642,1.174605096452487,1.2636384672470482,0.701752959712305,0.8350516106433568,1.2882192178047516
R2,0.30482187501999425,0.08642808941333213,-236956.8837393304,0.13462899772994663,0.37554225996751456,0.3187911460454136,0.22435181671473503,0.07813773017533521,0.08308945706327575,0.14691355677805962
RMSE,0.002829234052040074,0.007314903809089422,46.186779182220505,0.004562068100201618,0.024254192532011692,0.002508943684785639,0.010268354562082338,0.0036067959077347245,0.003023164145503726,0.004076066072265033
Rho,0.4746169750461218,0.40405901283096757,0.05597916294652006,0.32530632644011054,0.437520535183715,0.41660056929449846,0.4546506624954515,0.46833915093965117,0.47279128940335163,0.3573143883682882
Rho_p,1.6098419436366462e-48,2.0789368496716205e-34,0.10454229102743781,3.3170057026422183e-22,1.0945279048817555e-40,1.1147111931573733e-36,3.484218902084464e-44,3.9896866260344144e-47,4.12303851337503e-48,9.297319208908637e-27
SMSE,0.6951781249800056,0.9135719105866679,236957.8837393304,0.8653710022700534,0.6244577400324854,0.6812088539545864,0.775648183285265,0.9218622698246648,0.9169105429367241,0.8530864432219405
ShapiroW,0.9932116851633559,0.8944439804344453,0.8764810137128438,0.996072829761987,0.9491756486591433,0.997623014093982,0.9763091239695338,0.9723107629040031,0.9697727839659799,0.9956296104165984
