observations,centile,subject_ids,AUDITORY,COGNITIVE,EMOTION,GUSTATORY,MEDIAL_WALL,MOTOR,OLFACTORY,SOMATOSENSORY,VISION,VISION_V1
0,0.05,0,1.5012601397470293,1.3367248910426537,1.328773900645551,1.3683206114152577,0.1950184325772232,1.8397644009845577,0.5833212301048926,1.225138183214734,1.1868621744323613,1.063945889612746
0,0.25,0,1.7117921124804216,1.4284318356610164,1.4204303902480924,1.600988280779896,0.23049792716127823,2.0545927122900576,0.7557501570573311,1.4887894500998022,1.4052812290106527,1.2365800838310659
0,0.5,0,1.8007731653107388,1.4769464154415581,1.476085893016675,1.6967294312221726,0.24749947681439324,2.1477281596671722,0.8313460034626506,1.600027786888159,1.4977411451106106,1.3141804652342886
0,0.75,0,1.87421443093344,1.5249631966590758,1.5328190869188771,1.7739593006147094,0.26316080644905443,2.22467648539027,0.8951068687644947,1.6805368708918087,1.5682066774816175,1.372757501981763
0,0.95,0,1.981676048409283,1.5995974070266314,1.6203521153848794,1.8865510836793054,0.28674279841683137,2.335455107558662,0.9924039916903922,1.7876833402293824,1.6645425561189382,1.4474516013534593
1,0.05,1,1.5989922265822323,1.2951480878314683,1.2509797610487934,1.4845820753699575,0.20049163735436565,1.886396348883309,0.6526181745573278,1.4115728531206186,1.3350688515874884,1.1439934384789199
1,0.25,1,1.7559245119090763,1.3970363867239055,1.3573964770629048,1.6528296108231844,0.23191397896376398,2.069695205633983,0.7900886459130445,1.5863188763054599,1.4850687439631862,1.2688881831757821
1,0.5,1,1.829551109806837,1.4456622939163928,1.4112281163775162,1.7302651897815557,0.2476060790963617,2.1529763183383226,0.8551611362286612,1.6653090243536586,1.55540130593238,1.3287785090104192
1,0.75,1,1.8965478867733163,1.4894734776779845,1.4602758768219004,1.8002626822566512,0.2621780223718277,2.2238156610686524,0.9155409363018312,1.7351614933122408,1.619745573991419,1.3772990411918449
1,0.95,1,1.9978250515161438,1.5544225904584295,1.5314340738132508,1.9066391054951706,0.28397280377303896,2.32575113499277,1.010757336557464,1.8401992849974376,1.7164353154466547,1.4410456378855045
2,0.05,2,1.5509734119516791,1.270134161991562,1.2862957297056345,1.470459148538684,0.1863053280476052,1.8199444988817426,0.6443401500588765,1.3583969942250087,1.3085693898542674,1.098536003308637
2,0.25,2,1.728802858663966,1.3822109728306196,1.3791020191618353,1.6450804480116963,0.22348151529907434,2.0305024421889404,0.7862244862880675,1.5572384011923135,1.4717811222622776,1.2370518044300949
2,0.5,2,1.8080144847920807,1.433707541127488,1.429562575291633,1.7240828751164057,0.2407202047544758,2.123761707308516,0.8525367032603928,1.6435463372336747,1.5455251969362664,1.3035878912593815
2,0.75,2,1.8758060824765717,1.4779906469098458,1.4775520691980688,1.7942716217444925,0.2555723675693173,2.1974193120139547,0.9134479636097164,1.7149528750644385,1.6109969691323462,1.3551423716601674
2,0.95,2,1.975254484588028,1.542042041656335,1.54861972664577,1.900096879142039,0.27696676972711337,2.2981946022821704,1.0092936014083511,1.818803344581573,1.7083912375205759,1.4188161764641407
3,0.05,3,1.4910903796095287,1.2153240971565429,1.0876772065463016,1.3840858276025318,0.19957688380118077,1.8301129658417907,0.5277350350205926,1.3472300214478428,1.2334166871112222,1.17381994895692
