statistic,AUDITORY,COGNITIVE,EMOTION,GUSTATORY,MEDIAL_WALL,MOTOR,OLFACTORY,SOMATOSENSORY,VISION,VISION_V1
EXPV,0.38340803670274726,0.4504959448521667,0.46803227756910426,0.3231287686044251,0.40256180850513357,0.3983160352730789,0.2327513148361774,0.39291895787324016,0.4387460424618904,0.2986818139793167
MACE,0.006935866983372928,0.008836104513064139,0.012636579572446538,0.007648456057007124,0.012874109263657948,0.005985748218527315,0.009311163895486934,0.005035629453681708,0.008598574821852719,0.006460807600950118
MAPE,0.08529719572934612,0.07429252386185803,0.08412650388046847,0.09849706652143407,0.11425272279136488,0.08188125228378432,0.12644295734537847,0.08343703397971464,0.07658836873319205,0.08726517818188902
MSLL,-5.393140061635359,-6.459270183560024,-5.239199043344636,-3.4647189382525347,-4.709972254704413,-6.249793625277583,-3.2268311648668493,-5.877843701865305,-7.036813534423326,-5.61123768613667
NLL,1.1855108646910717,1.1306938956433568,1.1052302769801274,1.2271671008030152,1.1408827526591003,1.156293650757064,1.2968124961426528,1.1752447199812799,1.1445609383781044,1.2323657080115118
R2,0.3834074792853077,0.4504939923293724,0.46803014488965466,0.3231286534956642,0.4024922740258141,0.39828352827493696,0.2327076141852743,0.39290031272855563,0.43874519544361823,0.29868124428718046
RMSE,136.7205342442249,354.83672705449817,100.47476081941214,21.710813978378876,65.00228621263463,308.94531339182345,19.536049598809406,218.02696605945727,647.8413264927268,190.04644148269003
Rho,0.47666533445240045,0.5137493209071614,0.5389014854165696,0.4873590223266927,0.4888731818059626,0.5617021369861982,0.3688368359472087,0.5204184473647718,0.453900726401592,0.4889037373824303
Rho_p,5.566541380831683e-49,6.78343542295771e-58,1.3452969604691452e-64,1.9338227056732865e-51,8.533469000155627e-52,3.494841259457436e-71,1.5733254650620701e-28,1.2843772159150238e-59,5.005099862377904e-44,8.393392510284254e-52
SMSE,0.6165925207146923,0.5495060076706276,0.5319698551103453,0.6768713465043358,0.5975077259741859,0.601716471725063,0.7672923858147257,0.6070996872714443,0.5612548045563818,0.7013187557128195
ShapiroW,0.9967131258325561,0.995553967479461,0.9971844326878048,0.9930417840313602,0.9975374494141035,0.9945040554538351,0.9957936130112923,0.996375091239021,0.99707358128519,0.9966457010308887
